SampleID_Tara	BioSample	Chlorophyll Sensor	Minimum Depth	Maximum Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Temperature	Title
TARA_B100002029	SAMEA2623919	99999	5	160	"This sample (TARA_B100002029) was collected during the Tara Oceans expedition (2009-2013) at station TARA_152 (latitudeN=43.7684, longitudeE=-16.9047) on date/time=2012-03-19T18:46:13, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 5-160 m, targeting a water layer with no specific feature in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	water layer with no specific feature	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-19T19:18	2012-03-19T18:46:13	TARA_20120319T1848Z_152_EVENT_CAST	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:04Z	public	2014-05-01Z	43.7738	43.7684	-16.9097	-16.9047		99999	99999	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W0.22-3	ERS494628	99999	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS494628	TARA_20120314Z	SV Tara	TARA_152	0.22	3	99999	TARA_20120319T1848Z_152_EVENT_CAST_B2-B10_I_(5-160 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002029
TARA_B100000105	SAMEA2620084	0.17638	25	25	"This sample (TARA_B100000105) was collected during the Tara Oceans expedition (2009-2013) at station TARA_039 (latitudeN=18.5839, longitudeE=66.4727) on date/time=2010-03-18T11:33, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 23-27 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (1.6-20 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_B100000082."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2010-03-18T12:32	2010-03-18T11:33	TARA_20100318T1133Z_039_EVENT_PUMP	GSC	Genoscope	2016-10-24T17:01:42Z	2015-11-04T11:48:22Z	public	2014-05-01Z	18.5679	18.5839	66.4581	66.4727		-0.611888	192.95875	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W1.6-20	ERS488919	36.332317	PUMP (High Volume Peristaltic Pump) with ECOTriplet	ERS488919	TARA_20100309Z	SV Tara	TARA_039	1.6	20	26.812225	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W1.6-20_TARA_B100000105
TARA_B100001179	SAMEA2623907	0.001345	800	800	"This sample (TARA_B100001179) was collected during the Tara Oceans expedition (2009-2013) at station TARA_152 (latitudeN=43.7182, longitudeE=-16.8714) on date/time=2012-03-19T14:59:48, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 790-808 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-19T18:18	2012-03-19T14:59:48	TARA_20120319T1502Z_152_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:48:56Z	public	2014-05-01Z	43.7649	43.7182	-16.8935	-16.8714		18.205769	175.306683	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W0.22-3	ERS494616	35.539507	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS494616	TARA_20120314Z	SV Tara	TARA_152	0.22	3	10.21177	TARA_20120319T1502Z_152_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001179
TARA_B100001173	SAMEA2623886	0.238225	5	5	"This sample (TARA_B100001173) was collected during the Tara Oceans expedition (2009-2013) at station TARA_152 (latitudeN=43.6792, longitudeE=-16.8344) on date/time=2012-03-19T08:18, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_B100001174."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-19T11:27	2012-03-19T08:18	TARA_20120319T0818Z_152_EVENT_PUMP	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:12Z	public	2014-05-01Z	43.6906	43.6792	-16.8555	-16.8344		2.999226	243.148	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W0.22-3	ERS494579	35.986042	PUMP (High Volume Peristaltic Pump)	ERS494579	TARA_20120314Z	SV Tara	TARA_152	0.22	3	14.28065	TARA_20120319T0818Z_152_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001173
TARA_B100001559	SAMEA2623868	0.247378	80	80	"This sample (TARA_B100001559) was collected during the Tara Oceans expedition (2009-2013) at station TARA_151 (latitudeN=36.1811, longitudeE=-28.9373) on date/time=2012-03-09T17:42:29, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 70-88 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_B100001560."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-09T20:52	2012-03-09T17:42:29	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:11Z	public	2014-05-01Z	36.2108	36.1811	-28.7989	-28.9373		1.56535	228.54515	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W0.22-3	ERS494559	36.162887	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS494559	TARA_20120223Z	SV Tara	TARA_151	0.22	3	16.751066	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_MB_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001559
TARA_B100001564	SAMEA2623850	0.040347	5	5	"This sample (TARA_B100001564) was collected during the Tara Oceans expedition (2009-2013) at station TARA_151 (latitudeN=36.1715, longitudeE=-29.023) on date/time=2012-03-09T08:59, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), preserved on board with RNA-Later, and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis. This sample has replicate sample(s): TARA_B100001565."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-09T13:03	2012-03-09T08:59	TARA_20120309T0859Z_151_EVENT_PUMP	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:00Z	public	2014-05-01Z	36.139	36.1715	-28.9598	-29.023		0.334082	232.053333	Tara Oceans expedition (2009-2013)	BACT_NUC-RNA(10L-or-10min)_W0.22-3	ERS494518	36.23775	PUMP (High Volume Peristaltic Pump)	ERS494518	TARA_20120223Z	SV Tara	TARA_151	0.22	3	17.260108	TARA_20120309T0859Z_151_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001564
TARA_B100001778	SAMEA2623826	0.339591	40	40	"This sample (TARA_B100001778) was collected during the Tara Oceans expedition (2009-2013) at station TARA_150 (latitudeN=35.8427, longitudeE=-37.1526) on date/time=2012-03-05T17:34, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 38-42 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_B100001779."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-05T19:39	2012-03-05T17:34	TARA_20120305T1734Z_150_EVENT_PUMP	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:10Z	public	2014-05-01Z	35.7956	35.8427	-37.0998	-37.1526		1.210278	230.132971	Tara Oceans expedition (2009-2013)	BACT_NUC-DNA(100L)_W0.22-3	ERS494488	36.240197	PUMP (High Volume Peristaltic Pump) with ECOTriplet	ERS494488	TARA_20120223Z	SV Tara	TARA_150	0.22	3	17.663574	TARA_20120305T1734Z_150_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001778
TARA_B100001769	SAMEA2623808	0.196921	5	5	"This sample (TARA_B100001769) was collected during the Tara Oceans expedition (2009-2013) at station TARA_150 (latitudeN=35.9346, longitudeE=-37.3032) on date/time=2012-03-05T09:25, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), preserved on board with RNA-Later, and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis. This sample has replicate sample(s): TARA_B100001770."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-05T14:02	2012-03-05T09:25	TARA_20120305T0925Z_150_EVENT_PUMP	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:00Z	public	2014-05-01Z	35.8591	35.9346	-37.1728	-37.3032		-0.328716	228.375583	Tara Oceans expedition (2009-2013)	BACT_NUC-RNA(10L-or-10min)_W0.22-3	ERS494445	36.3123	PUMP (High Volume Peristaltic Pump)	ERS494445	TARA_20120223Z	SV Tara	TARA_150	0.22	3	17.583075	TARA_20120305T0925Z_150_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001769
TARA_B100001765	SAMEA2623794	0.009303	740	740	"This sample (TARA_B100001765) was collected during the Tara Oceans expedition (2009-2013) at station TARA_149 (latitudeN=34.0771, longitudeE=-49.8233) on date/time=2012-03-01T18:50:26, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 732-750 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), preserved on board with RNA-Later, and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-01T22:40	2012-03-01T18:50:26	TARA_20120301T1853Z_149_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:48:54Z	public	2014-05-01Z	34.155	34.0771	-49.6942	-49.8233		21.26922	155.156833	Tara Oceans expedition (2009-2013)	BACT_NUC-RNA(10L-or-10min)_W0.22-3	ERS494431	35.375245	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS494431	TARA_20120223Z	SV Tara	TARA_149	0.22	3	10.565417	TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MB_M_(740 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001765
TARA_B100001758	SAMEA2623774	0.214174	5	5	"This sample (TARA_B100001758) was collected during the Tara Oceans expedition (2009-2013) at station TARA_149 (latitudeN=34.1132, longitudeE=-49.9181) on date/time=2012-03-01T10:48, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-3 micrometres), preserved on board with RNA-Later, and stored in liquid nitrogen for later detection of prokaryote nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis. This sample has replicate sample(s): TARA_B100001759."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2012-03-01T15:17	2012-03-01T10:48	TARA_20120301T1048Z_149_EVENT_PUMP	GSC	Genoscope	2014-09-12T17:03:38Z	2015-11-04T11:49:13Z	public	2014-05-01Z	34.0491	34.1132	-49.8315	-49.9181		-1.176123	220.189917	Tara Oceans expedition (2009-2013)	BACT_NUC-RNA(10L-or-10min)_W0.22-3	ERS494394	36.4072	PUMP (High Volume Peristaltic Pump)	ERS494394	TARA_20120223Z	SV Tara	TARA_149	0.22	3	18.732683	TARA_20120301T1048Z_149_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001758
