parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/288560	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Citation									https://www.ncbi.nlm.nih.gov/bioproject/288560	
min_Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/288560	
max_Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Description									https://www.ncbi.nlm.nih.gov/bioproject/288560	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Further Details									https://www.ncbi.nlm.nih.gov/bioproject/288560	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/288560	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/288560	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/288560	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/288560	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/288560	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/288560	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/288560	
Title									https://www.ncbi.nlm.nih.gov/bioproject/288560	
environment (feature) further details									https://www.ncbi.nlm.nih.gov/bioproject/288560	
protocol description									https://www.ncbi.nlm.nih.gov/bioproject/288560	
sample material label									https://www.ncbi.nlm.nih.gov/bioproject/288560	
