SampleID_Tara	BioSample	Chlorophyll Sensor	Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Temperature	Title
TARA_N000000202	SAMEA2620505	0.040347	5	"This sample (TARA_N000000202) was collected during the Tara Oceans expedition (2009-2013) at station TARA_051 (latitudeN=-21.5043, longitudeE=54.3563) on date/time=2010-05-11T03:42, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis. This sample has replicate sample(s): TARA_N000000203."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-05-11T06:40	2010-05-11T03:42	TARA_20100511T0342Z_051_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:30Z	public	2014-05-01Z	-21.4603	-21.5043	54.3052	54.3563		0.244232	194.6898	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W5-20	ERS489453	34.9008	PUMP (High Volume Peristaltic Pump)	ERS489453	TARA_20100508Z	SV Tara	TARA_051	5	20	27.25908	TARA_20100511T0342Z_051_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W5-20_TARA_N000000202
TARA_N000000231	SAMEA2620500	0.040347	5	"This sample (TARA_N000000231) was collected during the Tara Oceans expedition (2009-2013) at station TARA_051 (latitudeN=-21.5043, longitudeE=54.3563) on date/time=2010-05-11T03:42, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-5 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_N000000230."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-05-11T06:40	2010-05-11T03:42	TARA_20100511T0342Z_051_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:29Z	public	2014-05-01Z	-21.4603	-21.5043	54.3052	54.3563		0.244232	194.6898	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(100L)_W0.8-5	ERS489448	34.9008	PUMP (High Volume Peristaltic Pump)	ERS489448	TARA_20100508Z	SV Tara	TARA_051	0.8	5	27.25908	TARA_20100511T0342Z_051_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000000231
TARA_N000000278	SAMEA2620396	0.006724	5	"This sample (TARA_N000000278) was collected during the Tara Oceans expedition (2009-2013) at station TARA_047 (latitudeN=-2.0465, longitudeE=72.1568) on date/time=2010-04-16T04:42, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-04-16T05:32	2010-04-16T04:42	TARA_20100416T0442Z_047_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:25Z	public	2014-05-01Z	-2.0367	-2.0465	72.1709	72.1568	"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Chagos (MRGID:21836)"	-1.826068	187.574167	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W0.8-20	ERS489303	34.91215	PUMP (High Volume Peristaltic Pump)	ERS489303	TARA_20100410Z	SV Tara	TARA_047	0.8	20	30.202058	TARA_20100416T0442Z_047_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-20_TARA_N000000278
TARA_N000000267	SAMEA2620378	0.121909	5	"This sample (TARA_N000000267) was collected during the Tara Oceans expedition (2009-2013) at station TARA_046 (latitudeN=-0.6625, longitudeE=73.161) on date/time=2010-04-15T02:01, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-5 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-04-15T05:28	2010-04-15T02:01	TARA_20100415T0201Z_046_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:23Z	public	2014-05-01Z	-0.6623	-0.6625	73.1611	73.161	(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774)	0.477267	185.733167	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W0.8-5	ERS489279	35.111283	PUMP (High Volume Peristaltic Pump)	ERS489279	TARA_20100410Z	SV Tara	TARA_046	0.8	5	30.12565	TARA_20100415T0201Z_046_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000267
TARA_N000000264	SAMEA2620377	0.121909	5	"This sample (TARA_N000000264) was collected during the Tara Oceans expedition (2009-2013) at station TARA_046 (latitudeN=-0.6625, longitudeE=73.161) on date/time=2010-04-15T02:01, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-04-15T05:28	2010-04-15T02:01	TARA_20100415T0201Z_046_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:23Z	public	2014-05-01Z	-0.6623	-0.6625	73.1611	73.161	(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774)	0.477267	185.733167	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(1L)_W5-20	ERS489278	35.111283	PUMP (High Volume Peristaltic Pump)	ERS489278	TARA_20100410Z	SV Tara	TARA_046	5	20	30.12565	TARA_20100415T0201Z_046_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000000264
TARA_N000000070	SAMEA2620220	0.47554	60	"This sample (TARA_N000000070) was collected during the Tara Oceans expedition (2009-2013) at station TARA_041 (latitudeN=14.5536, longitudeE=70.0128) on date/time=2010-03-30T10:56, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 58-62 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-03-30T12:20	2010-03-30T10:56	TARA_20100330T1056Z_041_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:08Z	public	2014-05-01Z	14.5375	14.5536	70.0244	70.0128	(search radius=5 degrees) Marine Province:West and South Indian Shelf (MRGID:21777)	-0.224514	148.328125	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(1L)_W5-20	ERS489077	36.496162	PUMP (High Volume Peristaltic Pump) with ECOTriplet	ERS489077	TARA_20100327Z	SV Tara	TARA_041	5	20	27.117663	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000000070
TARA_N000000006	SAMEA2620071	0.099089	5	"This sample (TARA_N000000006) was collected during the Tara Oceans expedition (2009-2013) at station TARA_039 (latitudeN=18.5918, longitudeE=66.622) on date/time=2010-03-18T04:27, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-5 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-03-18T08:32	2010-03-18T04:27	TARA_20100318T0427Z_039_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:12Z	public	2014-05-01Z	18.5706	18.5918	66.5023	66.622		-1.415582	193.3535	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W0.8-5	ERS488885	36.285367	PUMP (High Volume Peristaltic Pump)	ERS488885	TARA_20100309Z	SV Tara	TARA_039	0.8	5	26.81765	TARA_20100318T0427Z_039_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000006
TARA_N000000016	SAMEA2620070	0.099089	5	"This sample (TARA_N000000016) was collected during the Tara Oceans expedition (2009-2013) at station TARA_039 (latitudeN=18.5918, longitudeE=66.622) on date/time=2010-03-18T04:27, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (5-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-03-18T08:32	2010-03-18T04:27	TARA_20100318T0427Z_039_EVENT_PUMP	GSC	Genoscope	2014-10-13T17:01:07Z	2015-11-04T11:48:12Z	public	2014-05-01Z	18.5706	18.5918	66.5023	66.622		-1.415582	193.3535	Tara Oceans expedition (2009-2013)	PROT_NUC-DNA(1L)_W5-20	ERS488884	36.285367	PUMP (High Volume Peristaltic Pump)	ERS488884	TARA_20100309Z	SV Tara	TARA_039	5	20	26.81765	TARA_20100318T0427Z_039_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000000016
TARA_N000000113	SAMEA2620418	0	5	"This sample (TARA_N000000113) was collected during the Tara Oceans expedition (2009-2013) at station TARA_048 (latitudeN=-9.3921, longitudeE=66.4228) on date/time=2010-04-19T07:56, using a PUMP (High Volume Peristaltic Pump). The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-04-19T10:59	2010-04-19T07:56	TARA_20100419T0756Z_048_EVENT_PUMP	GSC	Genoscope	2014-07-15T17:01:42Z	2015-11-04T11:48:26Z	public	2014-05-01Z	-9.4112	-9.3921	66.3281	66.4228		-2.201764	187.2575	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W0.8-20	ERS489329	34.1689	PUMP (High Volume Peristaltic Pump)	ERS489329	TARA_20100410Z	SV Tara	TARA_048	0.8	20	29.818233	TARA_20100419T0756Z_048_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-20_TARA_N000000113
TARA_N000000072	SAMEA2620221	0.47554	60	"This sample (TARA_N000000072) was collected during the Tara Oceans expedition (2009-2013) at station TARA_041 (latitudeN=14.5536, longitudeE=70.0128) on date/time=2010-03-30T10:56, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 58-62 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-5 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	2010-03-30T12:20	2010-03-30T10:56	TARA_20100330T1056Z_041_EVENT_PUMP	GSC	Genoscope	2014-07-15T17:01:42Z	2015-11-04T11:48:08Z	public	2014-05-01Z	14.5375	14.5536	70.0244	70.0128	(search radius=5 degrees) Marine Province:West and South Indian Shelf (MRGID:21777)	-0.224514	148.328125	Tara Oceans expedition (2009-2013)	PROT_NUC-RNA(100L)_W0.8-5	ERS489078	36.496162	PUMP (High Volume Peristaltic Pump) with ECOTriplet	ERS489078	TARA_20100327Z	SV Tara	TARA_041	0.8	5	27.117663	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000072
