parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/253563	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Description									https://www.ncbi.nlm.nih.gov/bioproject/253563	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/253563	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/253563	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/253563	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/253563	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/253563	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/253563	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/253563	
Size Fraction Lower Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/253563	
Title									https://www.ncbi.nlm.nih.gov/bioproject/253563	
