Event Label	Cruise	CTDType	Station	CTDrosette_filename	DateTime	Latitude	Longitude	bottle	Pressure_Digiquartz	Depth 	Temperature	Conductivity	Salinity	Potential_Temperature	Density	"Oxygen, factory"	"Oxygen, adjusted"	"Nitrates, adjusted"	Chloro factory 	Chloro HPLC adjusted 	"Angular scattering coef, at 117°, 470 nm, factory "	"Part backscattering coef, 470 nm, factory "	"Angular scattering coef, at 117°, 470 nm, adj in situ dark"	"Part backscattering coef, 470 nm, adj in situ dark "	"bbp470, adj in situ dark "	"Fcdom, factory "	"beam attenuation coef, 660 nm, factory "	"beam attenuation coef, 660 nm, adjusted deep zero "	Chlorophyll c3	Chlorophyll c1+c2	Sum Chlorophyllid a 	Peridinin 	Sum Phaeophorbid a	19'-Butanoyloxyfucoxanthin 	Fucoxanthin	Neoxanthin 	Prasinoxanthin	Violaxanthin 	19'-Hexanoyloxyfucoxanthin	Diadinoxanthin 	Alloxanthin 	Diatoxanthin 	Zeaxanthin 	Lutein 	Bacteriochlorophyll a	Divinyl Chlorophyll b	Chlorophyll b	Total Chlorophyll b	Divinyl Chlorophyll a	Chlorophyll a	Total Chlorophyll a	Sum Phaeophytin a	Sum a-carotene + b-carotene	NO2	PO4	N02NO3	SI	NO2_tag	PO4_tag	N02NO3_tag	SI_tag	LPM (0.06-0.53mm)	LPM (0.53-1.06mm)	LPM (1.06-2.66mm)	LPM (0.06-2.66mm)	LPM biovolume (0.06-0.53mm)	LPM biovolume (0.53-1.06mm)	LPM biovolume (1.06-2.66mm)	LPM biovolume (0.06-2.66mm)	LPM (0.06-0.07mm)	LPM (0.09-0.11mm)	LPM (0.14-0.17mm)	LPM (0.17-0.21mm)	LPM (0.21-0.27mm)	LPM (0.27-0.34mm)	LPM (0.34-0.42mm)	LPM (0.42-0.53mm)	LPM (0.53-0.67mm)	LPM (0.67-0.84mm)	LPM (0.84-1.06mm)	LPM (1.06-1.33mm)	LPM (1.33-1.68mm)	LPM (1.68-2.11mm)	LPM (2.11-2.66mm)	LPM (2.66-3.35mm)	LPM (3.35-4.22mm)	LPM (4.22-5.32mm)	LPM (5.32-6.7mm)	LPM (6.7-8.44mm)	LPM (8.44-10.64mm)	LPM (10.64-13.4mm)	LPM (13.4-16.88mm)	LPM (16.88-21.27mm)	LPM (21.27-26.79mm)	LPM biovolume (0.06-0.07mm)	LPM biovolume (0.09-0.11mm)	LPM biovolume (0.14-0.17mm)	LPM biovolume (0.17-0.21mm)	LPM biovolume (0.21-0.27mm)	LPM biovolume (0.27-0.34mm)	LPM biovolume (0.34-0.42mm)	LPM biovolume (0.42-0.53mm)	LPM biovolume (0.53-0.67mm)	LPM biovolume (0.67-0.84mm)	LPM biovolume (0.84-1.06mm)	LPM biovolume (1.06-1.33mm)	LPM biovolume (1.33-1.68mm)	LPM biovolume (1.68-2.11mm)	LPM biovolume (2.11-2.66mm)	LPM biovolume (2.66-3.35mm)	LPM biovolume (3.35-4.22mm)	LPM biovolume (4.22-5.32mm)	LPM biovolume (5.32-6.7mm)	LPM biovolume (6.7-8.44mm)	LPM biovolume (8.44-10.64mm)	LPM biovolume (10.64-13.4mm)	LPM biovolume (13.4-16.88mm)	LPM biovolume (16.88-21.27mm)	LPM biovolume (21.27-26.79mm)
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	1	55	53.901	26.5942	56.980858	36.6009	26.582	24.0572	198.422	198.422	0.469282	0.1758	0.395824	5.00E-04	0.00026	0.000201	-4.00E-05	0.001795	1.5275	0.092212	0.084686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.2302	0.89714	0	19.1273	0.12736	0.19147	0	0.31884	0	5.174292	5.159959	1.695647	3.11943	1.447837	0.827887	0.805153	0.418971	0.280112	0.198059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002708	0.008493	0.005979	0.021995	0.021918	0.022775	0.043497	0.044759	0.053344	0.09337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	2	54	52.815	26.6178	57.011638	36.6032	26.6057	24.0521	197.762	197.762	0.154214	0.1614	0.372521	5.00E-04	0.00026	0.000201	-4.00E-05	0.001795	1.465	0.093267	0.085741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2624	1.0242	0.04902	20.3357	0.16178	0.19845	0.057945	0.41817	0	4.96646	4.95571	1.572327	3.30511	1.964921	1.503268	0.994601	0.544662	0.256769	0.222816	0.03268	0.01634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002599	0.008212	0.005544	0.023115	0.029429	0.042094	0.050786	0.056758	0.049262	0.092429	0.027241	0.030704	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	3	53	51.598	26.7075	57.140611	36.6253	26.6957	24.0401	197.227	197.227	0.311748	0.132	0.322958	0.000512	0.000271	0.000213	-2.80E-05	0.001876	1.495	0.093267	0.085741	0.0176	0.0318	0	0.0063	0.0077	0.0125	0.0054	0.002	0	0.001	0.044	0.0038	0	0	0.0589	0	0.0018	0	0.0206	0.0206	0.2371	0.1931	0.4302	0.0083	0.0288	0.009	0.305	-0.044	1.159	6	1	6	1	19.2624	1.0242	0.04902	20.3357	0.16178	0.19845	0.057945	0.41817	0	4.96646	4.95571	1.572327	3.30511	1.964921	1.503268	0.994601	0.544662	0.256769	0.222816	0.03268	0.01634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002599	0.008212	0.005544	0.023115	0.029429	0.042094	0.050786	0.056758	0.049262	0.092429	0.027241	0.030704	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	4	52	50.493	26.72845	57.169614	36.63095	26.71685	24.03765	197.7785	197.7785	0.703976	0.1248	0.31035	5.00E-04	0.00026	0.000201	-4.00E-05	0.001795	1.435	0.092212	0.084686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2624	1.0242	0.04902	20.3357	0.16178	0.19845	0.057945	0.41817	0	4.96646	4.95571	1.572327	3.30511	1.964921	1.503268	0.994601	0.544662	0.256769	0.222816	0.03268	0.01634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002599	0.008212	0.005544	0.023115	0.029429	0.042094	0.050786	0.056758	0.049262	0.092429	0.027241	0.030704	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	5	51	49.38	26.8139	57.274336	36.6394	26.8025	24.0165	195.82	195.82	0.273168	0.1098	0.283378	0.000512	0.000271	0.000213	-2.80E-05	0.001876	1.465	0.091069	0.083543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2624	1.0242	0.04902	20.3357	0.16178	0.19845	0.057945	0.41817	0	4.96646	4.95571	1.572327	3.30511	1.964921	1.503268	0.994601	0.544662	0.256769	0.222816	0.03268	0.01634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002599	0.008212	0.005544	0.023115	0.029429	0.042094	0.050786	0.056758	0.049262	0.092429	0.027241	0.030704	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	6	50	48.744	26.8465	57.314435	36.6427	26.8352	24.0087	196.183	196.183	0.273168	0.1026	0.270056	5.00E-04	0.00026	0.000201	-4.00E-05	0.001795	1.3425	0.091069	0.083543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2946	1.1514	0.098039	21.544	0.19619	0.20542	0.11589	0.51751	0	4.758629	4.751462	1.449007	3.49079	2.482005	2.178649	1.184048	0.670354	0.233427	0.247574	0.065359	0.03268	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0.007931	0.005109	0.024235	0.036941	0.061413	0.058076	0.068757	0.045179	0.091488	0.054481	0.061409	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	7	49	48.0345	26.9093	57.38082	36.64105	26.8982	23.9873	195.5915	195.5915	0.430702	0.1026	0.270056	0.000512	0.000271	0.000213	-2.80E-05	0.001876	1.435	0.090014	0.082489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4297	1.252	0.17157	23.8532	0.24439	0.26111	0.20537	0.71087	0	4.845076	4.915398	1.577144	4.060597	2.753475	2.376089	1.901878	0.649405	0.2699	0.332677	0.124592	0.031658	0.015319	0	0.015319	0	0	0	0	0	0	0	0	0	0	0.002536	0.008234	0.005561	0.028482	0.040916	0.065379	0.093287	0.064404	0.054945	0.141763	0.110278	0.050398	0.044693	0	0.232149	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	8	48	46.75	27.0254	57.509712	36.6425	27.01455	23.95095	194.7695	194.7695	0.703976	0.081	0.22833	5.00E-04	0.00026	0.000201	-4.00E-05	0.001795	1.435	0.08896	0.081434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4297	1.252	0.17157	23.8532	0.24439	0.26111	0.20537	0.71087	0	4.845076	4.915398	1.577144	4.060597	2.753475	2.376089	1.901878	0.649405	0.2699	0.332677	0.124592	0.031658	0.015319	0	0.015319	0	0	0	0	0	0	0	0	0	0	0.002536	0.008234	0.005561	0.028482	0.040916	0.065379	0.093287	0.064404	0.054945	0.141763	0.110278	0.050398	0.044693	0	0.232149	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	9	47	45.8625	27.1012	57.598263	36.646	27.0905	23.9295	194.46	194.46	0.350328	0.0882	0.242561	0.000488	0.000247	0.000188	-5.20E-05	0.001708	1.3425	0.090014	0.082489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4297	1.252	0.17157	23.8532	0.24439	0.26111	0.20537	0.71087	0	4.845076	4.915398	1.577144	4.060597	2.753475	2.376089	1.901878	0.649405	0.2699	0.332677	0.124592	0.031658	0.015319	0	0.015319	0	0	0	0	0	0	0	0	0	0	0.002536	0.008234	0.005561	0.028482	0.040916	0.065379	0.093287	0.064404	0.054945	0.141763	0.110278	0.050398	0.044693	0	0.232149	0	0	0	0	0	0	0	0	0
TARA_20100322T0930Z_040_EVENT_CAST	Tara_oceans	sbe9_rosette	40	tara_sbe_9C_100322_03	3/22/10 9:29	17.4814	67.9947	10	46	44.754	27.2034	57.697556	36.638	27.193	23.89	194.414	194.414	0.388907	0.0732	0.212492	0.000488	0.000247	0.000188	-5.20E-05	0.001708	1.3125	0.090014	0.082489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4297	1.252	0.17157	23.8532	0.24439	0.26111	0.20537	0.71087	0	4.845076	4.915398	1.577144	4.060597	2.753475	2.376089	1.901878	0.649405	0.2699	0.332677	0.124592	0.031658	0.015319	0	0.015319	0	0	0	0	0	0	0	0	0	0	0.002536	0.008234	0.005561	0.028482	0.040916	0.065379	0.093287	0.064404	0.054945	0.141763	0.110278	0.050398	0.044693	0	0.232149	0	0	0	0	0	0	0	0	0
