BioProject	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	bacterial_count	beam_atten	beam_trans	chlorophyll	collection_date	collection_time	conduc	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	env_feature	env_material	env_package	fluorescence	geo_loc_name	investigation_type	lat_lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_volume	sampling_cruise	sequencing_machine	sequencing_method	sigma-theta	site_name	std_norm_factor	surf_irradiance	target_molecules	temp	turbidity
SAMN05944742	SAMN05944742		SRS1776501	RCJ36		3480000			4.37	06-08-2012		20.3			15	161 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	156 µm	2.0 µm				2.98 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Depth (TAPD)	132111.6		Genomic DNA		
SAMN05944741	SAMN05944741		SRS1776492	RCJ35		3480000			4.37	06-08-2012		20.3			15	161 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	2.0 µm	0.2 µm				1.49 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Depth (TAPD)	41774.2		Genomic DNA		
SAMN05944740	SAMN05944740		SRS1776399	RCJ34		3270000			5.12	06-08-2012		18.2			0.5	348 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	156 µm	2.0 µm				3.13 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Surface (TAPS)	107839		Genomic DNA		
SAMN05944739	SAMN05944739		SRS1776388	RCJ33		3270000			5.12	06-08-2012		18.2			0.5	348 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	2.0 µm	0.2 µm				1.57 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Surface (TAPS)	212018.9		Genomic DNA		
SAMN05944738	SAMN05944738		SRS1776419	RCJ30		3480000			4.37	06-08-2012		20.3			15	161 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	156 µm	2.0 µm				1.35 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Depth (TAPD)	110103		Genomic DNA		
SAMN05944737	SAMN05944737		SRS1776416	RCJ29		3270000			5.12	06-08-2012		18.2			0.5	348 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	156 µm	2.0 µm				1.61 L		HiSeq 2500	Illumina SE 250 Rapid Run		Tapajos Surface (TAPS)	92322.4		Genomic DNA		
SAMN05944736	SAMN05944736		SRS1776427	RCJ27		3480000			4.37	06-08-2012		20.3			15	161 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	2.0 µm	0.2 µm				1.35 L		HiSeq 2500	Illumina PE 150x150		Tapajos Depth (TAPD)	52962919.3		Genomic DNA		
SAMN05944735	SAMN05944735		SRS1776455	RCJ26		3270000			5.12	06-08-2012		18.2			0.5	348 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		2.29063 S 55.00450 W	2.0 µm	0.2 µm				1.61 L		HiSeq 2500	Illumina PE 150x150		Tapajos Surface (TAPS)	78370414		Genomic DNA		
SAMN05944734	SAMN05944734		SRS1872834	RCJ48		3770000			1.03	05-08-2012		49.5			0.5	360 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		1.55141 S 55.31543 W	156 µm	2.0 µm				0.80 L		HiSeq 2500	Illumina SE 250 Rapid Run		Obidos (OB)	555057.7		Genomic DNA		
SAMN05944733	SAMN05944733		SRS1872836	RCJ47		3770000			1.03	05-08-2012		49.5			0.5	360 umol C/kg		river	Amazon River water	water			Brazil:Amazon River		1.55141 S 55.31543 W	2.0 µm	0.2 µm				0.80 L		HiSeq 2500	Illumina SE 250 Rapid Run		Obidos (OB)	85702.4		Genomic DNA		
