parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
sampling_event_ID	centrally registered sampling event identifier	http://purl.obolibrary.org/obo/PMO_00000056						https://www.bco-dmo.org/dataset/3782	string	
cruise_number	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060						https://www.bco-dmo.org/dataset/3782	number	
cast_number	ctd cast number	http://purl.obolibrary.org/obo/PMO_00000057						https://www.bco-dmo.org/dataset/3782	number	
Id								https://www.bco-dmo.org/dataset/3782	string	
decy								https://www.bco-dmo.org/dataset/3782	string	
lat		http://purl.obolibrary.org/obo/OBI_0001620	decimal degrees	http://purl.obolibrary.org/obo/UO_0000185				https://www.bco-dmo.org/dataset/3782	number	
lon		http://purl.obolibrary.org/obo/OBI_0001621	decimal degrees	http://purl.obolibrary.org/obo/UO_0000185				https://www.bco-dmo.org/dataset/3782	number	
Depth		http://purl.obolibrary.org/obo/ENVO_3100031	meters (m)	http://purl.obolibrary.org/obo/UO_0000008				https://www.bco-dmo.org/dataset/3782	number	
p1	pig1 (Chl3 c3 ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p2	pig2 (chlidea ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100010	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p3	pig3 (chl c1+c2 ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p4	pig4 (peri ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100025	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p5	pig5 (19-Butfu ng/kg)	http://purl.obolibrary.org/obo/PMO_00000156	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p6	pig6 (fuco ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100014	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p7	pig7 (19-Hexfu ng/kg)	http://purl.obolibrary.org/obo/PMO_00000157	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p8	pig8 (Pras ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p9	pig9 (Diad ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p10	pig10 (Allox ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100002	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p11	pig11 (Diat ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p12	pig12 (Zea+lut ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p13	pig13 (Chl b ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100009	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p14	pig14 (Chl a ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100008	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p15	pig15 (a+b Carotene ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
Chl	pig16 (Turn Chl a ug/kg)		microgram per kilogram (ug/kg)					https://www.bco-dmo.org/dataset/3782	number	
Phae	pig17 (Turn Phaeo ug/kg)		microgram per kilogram (ug/kg)					https://www.bco-dmo.org/dataset/3782	number	
p18	pig18 (Lutein ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100019	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p19	pig19 (Zeax ng/kg)	http://purl.obolibrary.org/obo/ENVO_3100029	nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p20	pig20 (a-Carotene ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
p21	pig21 (b-Carotene ng/kg)		nanograms per kilogram (ng/kg)					https://www.bco-dmo.org/dataset/3782	number	
filename	name of the originators file		unitless					https://www.bco-dmo.org/dataset/3782	string	
Temp		http://purl.obolibrary.org/obo/ENVO_09200014	degrees Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.bco-dmo.org/dataset/3782	number	
CTD_S	CTD Salinity	http://purl.obolibrary.org/obo/PMO_00000014	PSS-78	http://purl.obolibrary.org/obo/UO_0000168				https://www.bco-dmo.org/dataset/3782	number	
Sal1	bottle_salinity	http://purl.obolibrary.org/obo/PMO_00000014	PSS-78	http://purl.obolibrary.org/obo/UO_0000168				https://www.bco-dmo.org/dataset/3782	number	
SigTh			kilogram per meter cubed (kg/m3)					https://www.bco-dmo.org/dataset/3782	number	
O2	botlle_oxy	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
OxFix	Oxygen Fix Temp		degrees Celsius					https://www.bco-dmo.org/dataset/3782	number	
Anom1	Oxy Anomaly-1	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
CO2	dissolved inorganic carbon (DIC)	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000142	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
Alk	Alkalinity	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000139	uequiv					https://www.bco-dmo.org/dataset/3782	number	
NO31	Nitrate+Nitrite-1	http://purl.obolibrary.org/obo/PMO_00000018	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
NO21								https://www.bco-dmo.org/dataset/3782	number	
PO41	Phosphate-1	http://purl.obolibrary.org/obo/ENVO_3100026	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
Si1	Silicate-1	http://purl.obolibrary.org/obo/ENVO_3100034	micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
POC	POC	http://purl.obolibrary.org/obo/PMO_00000103	microgram per kilogram (ug/kg)					https://www.bco-dmo.org/dataset/3782	number	
PON	PON	http://purl.obolibrary.org/obo/PMO_00000112	microgram per kilogram (ug/kg)					https://www.bco-dmo.org/dataset/3782	number	
TOC	TOC		micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
TN	(DON) TN NOTE: Prior to BATS 121; DON is reported instead of TON		micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
Bact	Bacteria enumeration	http://purl.obolibrary.org/obo/PMO_00000185	cells/kg					https://www.bco-dmo.org/dataset/3782	number	
POP	POP		micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
TDP	Total dissolved Phosphorus		nanomole per kilogram (nmol/kg)					https://www.bco-dmo.org/dataset/3782	number	
SRP	Low-level phosphorus		nanomole per kilogram (nmol/kg)					https://www.bco-dmo.org/dataset/3782	number	
BSi	Particulate biogenic silica		micromole per kilogram (umol/kg)					https://www.bco-dmo.org/dataset/3782	number	
LSi	Particulate lithogenic silica		micromole per kilogram (umol/kg)	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3782	number	
Pro	Prochlorococcus	http://purl.obolibrary.org/obo/PMO_00000159	cells per mililiter (cells/ml)	http://purl.obolibrary.org/obo/UO_0000201				https://www.bco-dmo.org/dataset/3782	number	
Syn	Synechococcus	http://purl.obolibrary.org/obo/PMO_00000160	cells per mililiter (cells/ml)	http://purl.obolibrary.org/obo/UO_0000201				https://www.bco-dmo.org/dataset/3782	number	
Piceu	Picoeukaryotes	http://purl.obolibrary.org/obo/PMO_00000161	cells per mililiter (cells/ml)	http://purl.obolibrary.org/obo/UO_0000201				https://www.bco-dmo.org/dataset/3782	number	
Naneu	Nanoeukaryotes		cells per mililiter (cells/ml)	http://purl.obolibrary.org/obo/UO_0000201				https://www.bco-dmo.org/dataset/3782	number	
ISO_datetime		http://purl.obolibrary.org/obo/OBI_0001619	unitless	http://purl.obolibrary.org/obo/UO_0000003				https://www.bco-dmo.org/dataset/3782	datetime	%Y-%m-%dT%H:%M:%S
cruise_type			unitless					https://www.bco-dmo.org/dataset/3782	string	
niskin_number			unitless					https://www.bco-dmo.org/dataset/3782	number	
cruise_type_text			unitless					https://www.bco-dmo.org/dataset/3782	string	
