parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
sampling_event_ID	centrally registered sampling event identifier	http://purl.obolibrary.org/obo/PMO_00000056						https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
BioSample	specimen identifier assigned by sequencing facility	http://purl.obolibrary.org/obo/OBI_0001901						https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
SRA	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123						https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
Sample name								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
collection_date								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
depth	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031						https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
env_biome_label								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
purl_biome	biome	http://purl.obolibrary.org/obo/ENVO_00000428							string	
env_feature_label								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
purl_feature	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297							string	
env_material_label								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
purl_material	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483							string	
geo_loc_name								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
ph	acidity of water	http://purl.obolibrary.org/obo/ENVO_3100030	pH	http://purl.obolibrary.org/obo/UO_0000196				https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
temp	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
Date-Time	specimen collection time measurement datum	http://purl.obolibrary.org/obo/OBI_0001619	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/352737	datetime	%Y-%m-%dT%H:%M:%S
Lat	latitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001620	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
Long	longitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001621	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
HOT cruise #								https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
Cruise name								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
Station								https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
Cast								https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
BottleID								https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
filter_max	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023						https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
filter_min	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022						https://www.ncbi.nlm.nih.gov/bioproject/352737	number	
filter_type								https://www.ncbi.nlm.nih.gov/bioproject/352737	string	
