parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
SampleID_Tara									https://www.ncbi.nlm.nih.gov/bioproject/253560	
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Chlorophyll Sensor					mg Chl/m3				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Depth					m				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Description									https://www.ncbi.nlm.nih.gov/bioproject/253560	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Environment (Biome)									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Environment (Feature)									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Environment (Material)									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Event Date/Time End									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Event Date/Time Start									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Event Label									https://www.ncbi.nlm.nih.gov/bioproject/253560	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/253560	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/253560	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/253560	
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/253560	
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Latitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Latitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Longitude End					DD				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Longitude Start					DD				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Nitrate Sensor					µmol/L				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Oxygen Sensor					µmol/kg				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Project Name									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Protocol Label									https://www.ncbi.nlm.nih.gov/bioproject/253560	
SRA accession									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Salinity Sensor					psu				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Sample Collection Device									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Sampling Campaign									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Sampling Station									https://www.ncbi.nlm.nih.gov/bioproject/253560	
Size Fraction Lower Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Size Fraction Upper Threshold					µm				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Temperature					¡C				https://www.ncbi.nlm.nih.gov/bioproject/253560	
Title									https://www.ncbi.nlm.nih.gov/bioproject/253560	
purl_biome	biome	http://purl.obolibrary.org/obo/ENVO_00000428	TRUE							
purl_feature	environmental_feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE							
purl_material	environmental_material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE							
purl_material2	environmental_material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE							
